employee_id,employee_name,email,salary,department_id,hire_date,country
1,Employee 1,employee1@company.com,77935.42,7,2024-06-21,US
2,Employee 2,employee2@company.com,104037.26,1,2020-08-29,DE
3,Employee 3,employee3@company.com,122184.89,9,2023-11-05,US
4,Employee 4,employee4@company.com,176078.64,6,2020-05-14,DE
5,Employee 5,employee5@company.com,82710.12,7,2020-01-15,CA
6,Employee 6,employee6@company.com,63729.15,7,2020-03-03,US
7,Employee 7,employee7@company.com,160442.94,9,2025-12-01,SG
8,Employee 8,employee8@company.com,114056.23,8,2023-11-19,IN
9,Employee 9,employee9@company.com,123581.73,8,2025-07-18,US
10,Employee 10,employee10@company.com,141940.33,8,2022-03-15,SG
11,Employee 11,employee11@company.com,184093.68,1,2022-02-25,US
12,Employee 12,employee12@company.com,78254.92,1,2023-11-30,UK
13,Employee 13,employee13@company.com,164263.95,9,2023-10-24,US
14,Employee 14,employee14@company.com,68595.89,8,2021-12-08,DE
15,Employee 15,employee15@company.com,156765.42,2,2025-12-30,US
16,Employee 16,employee16@company.com,160555.58,6,2019-12-21,US
17,Employee 17,employee17@company.com,59974.57,10,2025-03-05,AU
18,Employee 18,employee18@company.com,126662.42,10,2019-11-10,US
19,Employee 19,employee19@company.com,158267.94,2,2023-06-25,FR
20,Employee 20,employee20@company.com,65541.22,8,2025-10-22,US
21,Employee 21,employee21@company.com,74582.31,8,2021-03-06,DE
22,Employee 22,employee22@company.com,79168.61,1,2021-02-18,US
23,Employee 23,employee23@company.com,149057.26,6,2023-12-03,AU
24,Employee 24,employee24@company.com,151843.28,7,2024-04-29,CA
25,Employee 25,employee25@company.com,110000.0,6,2021-09-28,DE
26,Employee 26,employee26@company.com,132148.02,1,2025-06-24,AU
27,Employee 27,employee27@company.com,169616.68,1,2024-02-05,BR
28,Employee 28,employee28@company.com,54685.24,1,2021-06-14,UK
29,Employee 29,employee29@company.com,89732.25,10,2022-04-05,DE
30,Employee 30,employee30@company.com,154156.55,4,2025-11-29,UK
31,Employee 31,employee31@company.com,77924.9,10,2025-01-22,US
32,Employee 32,employee32@company.com,146623.12,10,2021-04-11,US
33,Employee 33,employee33@company.com,185883.58,9,2021-07-27,AU
34,Employee 34,employee34@company.com,69664.11,10,2022-11-25,AU
35,Employee 35,employee35@company.com,51205.44,10,2021-04-02,CA
36,Employee 36,employee36@company.com,78126.11,7,2022-05-25,FR
37,Employee 37,employee37@company.com,160536.11,10,2022-11-10,FR
38,Employee 38,employee38@company.com,162464.71,10,2020-11-19,UK
39,Employee 39,employee39@company.com,98903.07,2,2022-12-16,US
40,Employee 40,employee40@company.com,157060.47,4,2021-03-01,UK
41,Employee 41,employee41@company.com,65338.93,8,2021-08-03,US
42,Employee 42,employee42@company.com,56654.7,4,2021-09-13,NL
43,Employee 43,employee43@company.com,179129.96,9,2020-12-07,NL
44,Employee 44,employee44@company.com,78204.19,7,2023-11-28,US
45,Employee 45,employee45@company.com,172998.54,4,2021-04-11,IN
46,Employee 46,employee46@company.com,155055.15,8,2025-10-20,IN
47,Employee 47,employee47@company.com,174772.69,6,2020-05-23,AU
48,Employee 48,employee48@company.com,91919.71,7,2022-12-17,US
49,Employee 49,employee49@company.com,144276.71,2,2019-10-25,SG
50,Employee 50,employee50@company.com,110000.0,1,2023-05-15,IN
51,Employee 51,employee51@company.com,178107.77,6,2021-07-13,DE
52,Employee 52,employee52@company.com,50405.12,6,2023-12-06,NL
53,Employee 53,employee53@company.com,62107.52,9,2021-02-11,US
54,Employee 54,employee54@company.com,129844.76,8,2022-08-24,FR
55,Employee 55,employee55@company.com,182611.69,8,2022-06-25,AU
56,Employee 56,employee56@company.com,148194.39,10,2025-11-14,US
57,Employee 57,employee57@company.com,163474.36,4,2024-02-20,DE
58,Employee 58,employee58@company.com,75798.91,1,2025-11-05,FR
59,Employee 59,employee59@company.com,153154.82,4,2020-12-29,CA
60,Employee 60,employee60@company.com,112452.97,10,2022-12-25,NL
61,Employee 61,employee61@company.com,103921.33,7,2025-06-15,SG
62,Employee 62,employee62@company.com,107132.46,9,2024-07-29,AU
63,Employee 63,employee63@company.com,119322.43,10,2024-04-14,UK
64,Employee 64,employee64@company.com,127387.64,8,2019-09-20,SG
65,Employee 65,employee65@company.com,116531.01,2,2020-04-14,IN
66,Employee 66,employee66@company.com,172935.7,1,2023-05-28,US
67,Employee 67,employee67@company.com,55413.9,8,2023-03-14,US
68,Employee 68,employee68@company.com,166733.48,1,2019-12-28,UK
69,Employee 69,employee69@company.com,108323.8,8,2023-02-15,US
70,Employee 70,employee70@company.com,135034.49,7,2022-07-18,DE
71,Employee 71,employee71@company.com,82060.34,7,2024-07-31,FR
72,Employee 72,employee72@company.com,142856.49,1,2022-07-18,SG
73,Employee 73,employee73@company.com,123666.85,2,2024-12-02,IN
74,Employee 74,employee74@company.com,67715.09,10,2024-03-04,CA
75,Employee 75,employee75@company.com,110000.0,6,2024-11-27,CA
76,Employee 76,employee76@company.com,62245.53,10,2024-10-17,US
77,Employee 77,employee77@company.com,80598.19,6,2020-08-31,DE
78,Employee 78,employee78@company.com,178567.12,4,2022-08-09,IN
79,Employee 79,employee79@company.com,104541.12,4,2025-06-19,IN
80,Employee 80,employee80@company.com,96434.27,9,2023-04-09,IN
81,Employee 81,employee81@company.com,139430.68,10,2024-08-31,BR
82,Employee 82,employee82@company.com,126106.52,2,2020-09-24,IN
83,Employee 83,employee83@company.com,121900.18,6,2020-05-01,SG
84,Employee 84,employee84@company.com,113166.78,6,2025-03-11,US
85,Employee 85,employee85@company.com,54507.39,7,2020-12-07,CA
86,Employee 86,employee86@company.com,54369.59,2,2023-07-14,SG
87,Employee 87,employee87@company.com,53522.77,2,2020-01-25,UK
88,Employee 88,employee88@company.com,149240.19,2,2020-04-03,UK
89,Employee 89,employee89@company.com,143811.88,7,2025-07-05,US
90,Employee 90,employee90@company.com,71761.68,6,2023-07-25,CA
91,Employee 91,employee91@company.com,70419.91,9,2019-10-21,US
92,Employee 92,employee92@company.com,137228.68,4,2023-07-23,US
93,Employee 93,employee93@company.com,135406.09,9,2023-03-15,IN
94,Employee 94,employee94@company.com,119076.85,9,2023-08-13,CA
95,Employee 95,employee95@company.com,80941.06,2,2022-02-21,CA
96,Employee 96,employee96@company.com,50815.04,2,2025-01-17,US
97,Employee 97,employee97@company.com,52090.42,7,2024-08-14,US
98,Employee 98,employee98@company.com,180196.8,4,2019-11-20,CA
99,Employee 99,employee99@company.com,142973.25,10,2025-04-05,IN
100,Employee 100,employee100@company.com,110000.0,7,2021-07-15,US
101,Employee 101,employee101@company.com,57621.3,2,2022-12-11,US
102,Employee 102,employee102@company.com,159268.45,7,2024-03-31,BR
103,Employee 103,employee103@company.com,165898.63,8,2023-01-04,US
104,Employee 104,employee104@company.com,184787.47,8,2021-10-11,FR
